 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise = 15   # Spanwise =100     First strip =  1
     Surface area =  264.948608       Ave. chord =    5.145000
     CLsurf  =   0.21882     Clsurf  =  -0.04550
     CYsurf  =  -0.00739     Cmsurf  =  -1.31241
     CDsurf  =   0.00244     Cnsurf  =   0.00256
     CDisurf =   0.00244     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.43770     CDsurf  =   0.00487
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
   145 -22.9019   5.3875   2.7744   2.5238   0.0155   0.4684   0.4684   0.0030   0.0000  -0.1262   0.2433    0.519
   146 -23.4166   5.3435   2.7517   2.5139   0.0145   0.4705   0.4705   0.0026   0.0000  -0.1263   0.2438    0.518
   147 -23.9312   5.2993   2.7290   2.5036   0.0146   0.4724   0.4724   0.0025   0.0000  -0.1265   0.2445    0.518
   148 -24.4459   5.2552   2.7063   2.4943   0.0133   0.4746   0.4746   0.0024   0.0000  -0.1270   0.2456    0.517
   149 -24.9605   5.2111   2.6836   2.4855   0.0127   0.4770   0.4770   0.0020   0.0000  -0.1279   0.2471    0.518
   150 -25.4752   5.1670   2.6608   2.4783   0.0329   0.4796   0.4796   0.0022   0.0000  -0.1295   0.2494    0.520
   151 -25.9898   5.1230   2.6381   2.4756  -0.0168   0.4832   0.4832   0.0029   0.0000  -0.1321   0.2529    0.523
   152 -26.5045   5.0789   2.6154   2.4637   0.0019   0.4851   0.4851   0.0029   0.0000  -0.1338   0.2550    0.526
   153 -27.0191   5.0347   2.5927   2.4421   0.0054   0.4850   0.4850   0.0029   0.0000  -0.1345   0.2557    0.527
   154 -27.5338   4.9907   2.5700   2.4171   0.0064   0.4843   0.4843   0.0029   0.0000  -0.1347   0.2557    0.528
   155 -28.0484   4.9465   2.5473   2.3911   0.0070   0.4834   0.4834   0.0023   0.0000  -0.1348   0.2556    0.529
   156 -28.5631   4.9025   2.5246   2.3645   0.0074   0.4823   0.4823   0.0029   0.0000  -0.1348   0.2554    0.530
   157 -29.0777   4.8583   2.5019   2.3353   0.0077   0.4807   0.4807   0.0027   0.0000  -0.1348   0.2549    0.530
   158 -29.5924   4.8142   2.4792   2.3060   0.0080   0.4790   0.4790   0.0023   0.0000  -0.1348   0.2545    0.531
   159 -30.1070   4.7702   2.4565   2.2770   0.0081   0.4773   0.4773   0.0026   0.0000  -0.1348   0.2541    0.532
   160 -30.6217   4.7260   2.4338   2.2470   0.0083   0.4754   0.4754   0.0020   0.0000  -0.1348   0.2536    0.534
   161 -31.1363   4.6820   2.4110   2.2156   0.0083   0.4732   0.4732   0.0022   0.0000  -0.1348   0.2531    0.535
   162 -31.6510   4.6378   2.3883   2.1852   0.0083   0.4712   0.4712   0.0020   0.0000  -0.1348   0.2525    0.536
   163 -32.1656   4.5938   2.3656   2.1533   0.0083   0.4687   0.4687   0.0021   0.0000  -0.1348   0.2519    0.538
   164 -32.6803   4.5497   2.3429   2.1226   0.0083   0.4665   0.4665   0.0019   0.0000  -0.1348   0.2514    0.539
   165 -33.1949   4.5055   2.3202   2.0891   0.0082   0.4637   0.4637   0.0021   0.0000  -0.1347   0.2506    0.540
   166 -33.7096   4.4615   2.2975   2.0573   0.0081   0.4611   0.4611   0.0023   0.0000  -0.1347   0.2499    0.542
   167 -34.2242   4.4173   2.2748   2.0264   0.0080   0.4587   0.4587   0.0027   0.0000  -0.1347   0.2493    0.544
